"Hanslmeier, A.",205,1981,2016,Astrophysics - Solar and Stellar Astrophysics,Sun: photosphere,Solar Physics
"Thalmann, J.",21,2006,2016,Sun: corona,Astrophysics - Solar and Stellar Astrophysics,Sun: magnetic fields
"Veronig, A.",167,2000,2016,Astrophysics - Solar and Stellar Astrophysics,Sun: flares,Sun: corona
"Temmer, M.",127,1999,2016,Astrophysics - Solar and Stellar Astrophysics,Sun: coronal mass ejections: CMEs,Sun: corona
"Poetzi, W.",25,2003,2015,granulation,Sun,mesogranulation
"Dickson, E.",5,1972,2013,X-ray bursts,Flares,Energetic particles
"Moestl, C.",46,2006,2015,Astrophysics - Solar and Stellar Astrophysics,Sun: coronal mass ejections: CMEs,solar-terrestrial relations
"Dissauer, K.",2,2013,2015,Sun: corona,Sun: evolution,High Energy Physics - Phenomenology
"Hernández-Pérez, A.",0,0,0,,,
"Hofmeister, S.J.",2,2014,2015,Solar wind,Astrophysics - Solar and Stellar Astrophysics,Filament channels
"Reiss, M.",4,1991,2015,Astrophysics - Solar and Stellar Astrophysics,Solar wind,Filament channels
"Vanninathan, K.",8,2011,2015,Astrophysics - Solar and Stellar Astrophysics,Sun: corona,Sun: chromosphere
"Thonhofer, S.",15,2012,2016,photosphere,Hinode/SOT,spectropolarimetry
"Lemmerer, B.",15,2010,2014,photosphere,spectropolarimetry,Hinode/SOT
"Zaqarashvili, T.",77,1995,2016,Astrophysics - Solar and Stellar Astrophysics,Sun: oscillations,Astrophysics
"Poedts, S.",176,1985,2016,Astrophysics - Solar and Stellar Astrophysics,Sun: corona,plasmas
"van Doorsselaere, T.",68,2003,2016,Sun: oscillations,Sun: corona,Astrophysics - Solar and Stellar Astrophysics
"Keppens, R.",108,1993,2016,Astrophysics,hydrodynamics,Astrophysics - Solar and Stellar Astrophysics
"Lapenta, G.",64,1996,2016,Physics - Plasma Physics,Physics - Space Physics,Astrophysics - Solar and Stellar Astrophysics
"Bacchini, F.",1,2015,2015,Sun: coronal mass ejections: CMEs,shock waves,magnetohydrodynamics: MHD
"Zuccarello, F.",82,1981,2016,Sun: activity,Sun: magnetic fields,Sun: flares
"Olshevsky, V.",10,2004,2016,Astrophysics - Earth and Planetary Astrophysics,Physics - Plasma Physics,Astrophysics - Solar and Stellar Astrophysics
"Antolin, P.",25,2008,2015,Astrophysics - Solar and Stellar Astrophysics,Sun: corona,magnetohydrodynamics: MHD
"Reznikova, V.",16,2002,2015,Sun: oscillations,Sun: radio radiation,waves
"Goossens, M.",209,1972,2016,Sun: corona,Sun: oscillations,Solar Physics
"Ben Moussa, A.",1,2000,2000,,,
"Giordanengo, B.",4,2009,2015,Degradation,SWAP,Astrophysics - Instrumentation and Methods for Astrophysics
"Gissot, S.",12,2007,2015,Sun: corona,Sun: rotation,Sun: activity
"Rodriguez, L.",500,1974,2016,Astrophysics,Astrophysics - Solar and Stellar Astrophysics,ISM: jets and outflows
"Seaton, D.",30,2001,2015,Astrophysics - Solar and Stellar Astrophysics,Sun: coronal mass ejections: CMEs,Sun: corona
"West, M.",216,1970,2015,Astrophysics,General Relativity and Quantum Cosmology,cD
"Zhukov, A.",69,1980,2015,Astrophysics,Sun: corona,Astrophysics - Solar and Stellar Astrophysics
"de Louille, V.",0,0,0,,,
"Parenti, S.",31,1996,2014,Astrophysics - Solar and Stellar Astrophysics,Sun: corona,Sun: UV radiation
"Magdalenic, J.",25,2000,2016,Sun: corona,shock waves,Sun: radio radiation
"Laurent, D.",4,1976,1991,Stellar Models,Numerical Integration,Celestial Mechanics
"Marilena, M.",0,0,0,,,
"Mampaey, B.",7,2013,2015,Sun: corona,Sun: UV radiation,Sun: activity
"Komitov, B.",32,1979,2015,Sun,Geophysics,Astrophysics
"Duchlev, P.",20,1989,2015,prominences,Solar Prominences,Solar Corona
"Brajsa, R.",87,1988,2016,Sun: rotation,Sun: corona,Sun: activity
"Vrsnak, B.",237,1980,2016,Solar Physics,Sun: corona,Astrophysics - Solar and Stellar Astrophysics
"Sudar, D.",32,1999,2016,Astrophysics - Solar and Stellar Astrophysics,stars: fundamental parameters,Be
"Zic, T.",20,2007,2016,Astrophysics - Solar and Stellar Astrophysics,Sun: corona,Sun: coronal mass ejections: CMEs
"Dumbovic, M.",13,2011,2016,solar-terrestrial relations,Astrophysics - Solar and Stellar Astrophysics,cosmic rays
"Dzifcakova, E.",46,1986,2016,Sun: X-rays,gamma rays,radiation mechanisms: non-thermal
"Jurcak, J.",32,2005,2015,Sun: photosphere,sunspots,Astrophysics - Solar and Stellar Astrophysics
"Meszarosova, H.",33,1999,2016,Sun: flares,Sun: radio radiation,Sun: corona
"Sobotka, M.",76,1979,2014,Sun: photosphere,Sunspots,Sun: sunspots
"Stepan, J.",13,2007,2015,polarization,radiative transfer,Astrophysics - Solar and Stellar Astrophysics
"Heinzel, P.",147,1974,2016,Sun: filaments,radiative transfer,Astrophysics - Solar and Stellar Astrophysics
"Ambroz, P.",31,1969,2013,Solar Physics,SOLAR CYCLE,OBSERVATIONS
"Bumba, V.",142,1949,2013,Solar Physics,Solar Magnetic Field,Sunspots
"Klvana, M.",37,1976,2012,Sun: photosphere,Sun: magnetic fields,telescopes
"Svanda, M.",36,2004,2016,Astrophysics - Solar and Stellar Astrophysics,Astrophysics,Sun: helioseismology
"Kasparova, J.",23,2002,2015,Sun: flares,Astrophysics - Solar and Stellar Astrophysics,Sun: X-rays
"Bárta, M.",44,2000,2016,Sun: flares,magnetic reconnection,Astrophysics - Solar and Stellar Astrophysics
"Nordlund, A.",186,1974,2014,Astrophysics,Astrophysics - Solar and Stellar Astrophysics,turbulence
"Galsgaard, K.",68,1991,2015,Astrophysics,Sun: corona,magnetohydrodynamics (MHD)
"Presmann, M.",1,2015,2015,Sun: corona,Sun: magnetic fields,methods: numerical
"Kilpua, E.",36,2009,2015,Coronal mass ejections,Astrophysics - Solar and Stellar Astrophysics,Physics - Space Physics
"Vainio, R.",119,1995,2015,Sun: particle emission,shock waves,acceleration of particles
"Koskinen, H.",132,1983,2015,Geophysics,Magnetospheric Physics: Storms and substorms,Magnetospheric Physics: Solar wind/magnetosphere interactions
"Andreeova, K.",12,2007,2015,Interplanetary Physics: Interplanetary shocks,Space Plasma Physics: Shock waves (4455),Magnetospheric Physics: Numerical modeling
"Afanasiev, A.",15,1968,2015,turbulence,shock waves,Sun: particle emission
"Pomoell, J.",11,2008,2015,shock waves,acceleration of particles,Coronal mass ejection
"Hietala, H.",13,2009,2015,shock waves,magnetic reconnection,acceleration of particles
"Isavnin, A.",4,2011,2015,Astrophysics - Solar and Stellar Astrophysics,Coronal mass ejections,Magnetic fields
"Mursula, K.",188,1986,2016,Interplanetary Physics: Solar cycle variations (7536),Astrophysics,Solar Physics
"Usoskin, I.",191,1990,2016,Sun: activity,Astrophysics - Solar and Stellar Astrophysics,Astrophysics
"Ilpo, V.",0,0,0,,,
"Asvestari, E.",2,2013,2015,sunspots,Sun: activity,solar-terrestrial relations
"Holappa, L.",8,2008,2015,solar wind,geomagnetic activity,high-speed streams
"Pohjolainen, S.",69,1986,2016,Solar Physics,Sun: radio radiation,SUN: RADIO RADIATION
"Riehokainen, A.",19,1997,2016,Sun: radio radiation,Sun: oscillations,Sun: activity
"Valtonen, E.",99,1976,2016,Space Radiation,Cosmic Rays,Sun: particle emission
"Afanasiev, A.",15,1968,2015,turbulence,shock waves,Sun: particle emission
"Battarbee, M.",13,2010,2015,cosmic rays,96.50.sb,Neutrino muon pion and other elementary particles
"Kretzschmar, M.",34,2004,2015,Astrophysics - Solar and Stellar Astrophysics,Astrophysics,Sun: UV radiation
"Buchlin, E.",17,2003,2015,Astrophysics - Solar and Stellar Astrophysics,Sun: corona,Astrophysics
"Appourchaux, T.",140,1987,2015,Astrophysics - Solar and Stellar Astrophysics,stars: oscillations,methods: data analysis
